Nom,STOXX® Europe 600 (Gross Return EUR),STOXX® Europe 600 (Price Return EUR),EURO STOXX 50® (Gross Return EUR),EURO STOXX 50® (Price Return EUR),CAC All-Tradable Gross Return,CAC All-Tradable,CAC 40 Gross Return,CAC 40
ISIN,CH0102635015,EU0009658202,CH0102173264,EU0009658145,QS0011131891,FR0003999499,QS0011131834,FR0003500008
Symbole,SXXGR,SXXP,SX5GT,SX5E,CACTR,CACT,PX1GR,CAC
Source,https://stoxx.com/index/sxxgr/?factsheet=true,https://stoxx.com/index/sxxp/?factsheet=true,https://stoxx.com/index/sx5gt/?factsheet=true,https://stoxx.com/index/sx5e/?factsheet=true,https://markets.ft.com/data/indices/tearsheet/summary?s=CACTR%3APAR,https://markets.ft.com/data/indices/tearsheet/summary?s=CACT%3APAR,https://markets.ft.com/data/indices/tearsheet/summary?s=PX1GR%3APAR,https://markets.ft.com/data/indices/tearsheet/summary?s=CAC%3APAR
Date,STOXX_600_Gross_Return,STOXX_600_Price_Return,EURO_STOXX_50_Gross_Return,EURO_STOXX_50_Price_Return,CAC_All_Tradable_Gross_Return,CAC_All_Tradable_Price_Return,CAC_40_Gross_Return,CAC_40_Price_Return
1986-12-31,,82.76,,900.82,,,,
1987-01-01,,82.76,,900.82,,,,
1987-01-02,,82.57,,891.78,,,,
1987-01-05,,82.82,,898.33,,,,
1987-01-06,,83.28,,902.32,,,,
1987-01-07,,83.78,,899.15,,,,
1987-01-08,,83.52,,887.37,,,,
1987-01-09,,83.03,,868.31,,,,
1987-01-12,,83.64,,879.41,,,,
1987-01-13,,83.0,,872.74,,,,
1987-01-14,,82.99,,876.39,,,,
1987-01-15,,83.77,,884.37,,,,
1987-01-16,,84.15,,883.78,,,,
1987-01-19,,83.39,,876.15,,,,
1987-01-20,,83.5,,875.1,,,,
1987-01-21,,83.35,,872.47,,,,
1987-01-22,,83.48,,876.69,,,,
1987-01-23,,84.12,,883.62,,,,
1987-01-26,,83.38,,870.96,,,,
1987-01-27,,83.64,,868.19,,,,
1987-01-28,,81.87,,838.6,,,,
1987-01-29,,82.31,,847.38,,,,
1987-01-30,,83.2,,859.08,,,,
1987-02-02,,83.03,,849.03,,,,
1987-02-03,,82.31,,839.6,,,,
1987-02-04,,82.72,,838.53,,,,
1987-02-05,,82.89,,833.03,,,,
1987-02-06,,83.87,,842.23,,,,
1987-02-09,,84.03,,844.73,,,,
1987-02-10,,82.91,,837.91,,,,
1987-02-11,,83.31,,837.56,,,,
1987-02-12,,83.22,,840.53,,,,
1987-02-13,,83.75,,841.54,,,,
1987-02-16,,84.22,,844.11,,,,
1987-02-17,,84.24,,833.81,,,,
1987-02-18,,84.73,,834.15,,,,
1987-02-19,,84.75,,844.07,,,,
1987-02-20,,85.26,,845.11,,,,
1987-02-23,,84.74,,839.36,,,,
1987-02-24,,84.96,,837.9,,,,
1987-02-25,,84.99,,833.39,,,,
1987-02-26,,85.39,,838.23,,,,
1987-02-27,,85.73,,840.97,,,,
1987-03-02,,86.22,,842.7,,,,
1987-03-03,,86.1,,836.22,,,,
1987-03-04,,86.98,,848.78,,,,
1987-03-05,,87.63,,855.04,,,,
1987-03-06,,87.65,,854.82,,,,
1987-03-09,,87.76,,856.93,,,,
1987-03-10,,87.49,,850.99,,,,
1987-03-11,,87.37,,844.78,,,,
1987-03-12,,87.83,,851.62,,,,
1987-03-13,,87.73,,855.0,,,,
1987-03-16,,87.47,,855.21,,,,
1987-03-17,,87.66,,848.47,,,,
1987-03-18,,88.34,,854.69,,,,
1987-03-19,,87.27,,842.48,,,,
1987-03-20,,87.83,,848.13,,,,
1987-03-23,,88.7,,860.44,,,,
1987-03-24,,89.49,,866.76,,,,
1987-03-25,,89.45,,868.3,,,,
1987-03-26,,89.74,,874.75,,,,
1987-03-27,,90.39,,882.89,,,,
1987-03-30,,89.01,,877.3,,,,
1987-03-31,,88.4,,869.44,,,,
1987-04-01,,88.66,,883.95,,,,
1987-04-02,,89.1,,888.39,,,,
1987-04-03,,89.06,,888.97,,,,
1987-04-06,,90.31,,900.79,,,,
1987-04-07,,89.88,,896.33,,,,
1987-04-08,,89.67,,895.42,,,,
1987-04-09,,89.4,,895.62,,,,
1987-04-10,,88.31,,884.61,,,,
1987-04-13,,87.49,,875.19,,,,
1987-04-14,,87.53,,881.0,,,,
1987-04-15,,88.2,,888.71,,,,
1987-04-16,,89.22,,895.48,,,,
1987-04-17,,89.24,,896.06,,,,
1987-04-20,,89.15,,893.33,,,,
1987-04-21,,88.82,,889.55,,,,
1987-04-22,,89.67,,900.5,,,,
1987-04-23,,89.82,,896.53,,,,
1987-04-24,,90.12,,890.62,,,,
1987-04-27,,89.01,,871.69,,,,
1987-04-28,,89.84,,879.07,,,,
1987-04-29,,90.42,,884.37,,,,
1987-04-30,,90.73,,881.46,,,,
1987-05-01,,91.14,,883.32,,,,
1987-05-04,,91.03,,880.31,,,,
1987-05-05,,90.72,,875.43,,,,
1987-05-06,,91.32,,880.91,,,,
1987-05-07,,91.37,,882.84,,,,
1987-05-08,,92.35,,882.7,,,,
1987-05-11,,93.12,,887.34,,,,
1987-05-12,,92.28,,879.78,,,,
1987-05-13,,92.97,,882.77,,,,
1987-05-14,,93.28,,883.11,,,,
1987-05-15,,91.97,,866.11,,,,
1987-05-18,,92.35,,868.85,,,,
1987-05-19,,92.53,,865.65,,,,
1987-05-20,,91.32,,856.08,,,,
1987-05-21,,90.87,,854.02,,,,
1987-05-22,,91.04,,857.63,,,,
1987-05-25,,91.04,,856.95,,,,
1987-05-26,,91.11,,864.83,,,,
1987-05-27,,90.89,,869.49,,,,
1987-05-28,,91.32,,869.29,,,,
1987-05-29,,92.05,,866.41,,,,
1987-06-01,,92.9,,872.52,,,,
1987-06-02,,92.1,,863.11,,,,
1987-06-03,,92.25,,864.57,,,,
1987-06-04,,92.02,,869.42,,,,
1987-06-05,,92.02,,864.75,,,,
1987-06-08,,92.01,,866.08,,,,
1987-06-09,,92.79,,863.17,,,,
1987-06-10,,92.15,,860.8,,,,
1987-06-11,,92.94,,868.26,,,,
1987-06-12,,93.7,,869.28,,,,
1987-06-15,,94.53,,879.82,,,,
1987-06-16,,95.05,,885.41,,,,
1987-06-17,,95.29,,885.93,,,,
1987-06-18,,94.7,,885.19,,,,
1987-06-19,,94.43,,897.16,,,,
1987-06-22,,94.36,,908.73,,,,
1987-06-23,,94.98,,915.58,,,,
1987-06-24,,94.88,,901.6,,,,
1987-06-25,,94.93,,903.66,,,,
1987-06-26,,95.51,,909.42,,,,
1987-06-29,,95.33,,909.76,,,,
1987-06-30,,95.19,,905.3,,,,
1987-07-01,,94.65,,894.32,,,,
1987-07-02,,95.7,,904.15,,,,
1987-07-03,,97.03,,917.81,,,,
1987-07-06,,97.51,,918.19,,,,
1987-07-07,,97.68,,917.15,,,,
1987-07-08,,97.94,,923.2,,,,
1987-07-09,,98.04,,920.76,,,,
1987-07-10,,98.32,,921.82,,,,
1987-07-13,,98.46,,921.73,,,,
1987-07-14,,99.01,,925.93,,,,
1987-07-15,,99.61,,928.92,,,,
1987-07-16,,100.34,,932.15,,,,
1987-07-17,,100.58,,941.03,,,,
1987-07-20,,100.24,,945.38,,,,
1987-07-21,,99.74,,941.54,,,,
1987-07-22,,98.67,,937.13,,,,
1987-07-23,,98.31,,932.12,,,,
1987-07-24,,98.54,,933.19,,,,
1987-07-27,,98.23,,936.9,,,,
1987-07-28,,99.26,,941.84,,,,
1987-07-29,,100.2,,949.38,,,,
1987-07-30,,100.44,,957.8,,,,
1987-07-31,,99.93,,955.83,,,,
1987-08-03,,99.43,,959.68,,,,
1987-08-04,,98.96,,957.2,,,,
1987-08-05,,98.96,,955.55,,,,
1987-08-06,,98.29,,961.22,,,,
1987-08-07,,97.58,,963.12,,,,
1987-08-10,,97.65,,962.46,,,,
1987-08-11,,97.89,,952.68,,,,
1987-08-12,,98.97,,961.8,,,,
1987-08-13,,98.9,,959.8,,,,
1987-08-14,,99.12,,961.79,,,,
1987-08-17,,98.42,,959.11,,,,
1987-08-18,,97.31,,949.25,,,,
1987-08-19,,96.42,,940.09,,,,
1987-08-20,,96.75,,949.22,,,,
1987-08-21,,97.39,,950.03,,,,
1987-08-24,,97.21,,941.89,,,,
1987-08-25,,97.42,,941.91,,,,
1987-08-26,,97.46,,942.2,,,,
1987-08-27,,97.6,,943.3,,,,
1987-08-28,,97.84,,947.55,,,,
1987-08-31,,97.98,,951.06,,,,
1987-09-01,,98.84,,953.63,,,,
1987-09-02,,98.27,,947.24,,,,
1987-09-03,,98.33,,939.54,,,,
1987-09-04,,98.24,,930.39,,,,
1987-09-07,,97.93,,919.53,,,,
1987-09-08,,97.56,,919.47,,,,
1987-09-09,,97.03,,919.76,,,,
1987-09-10,,97.53,,928.08,,,,
1987-09-11,,97.96,,933.42,,,,
1987-09-14,,98.32,,940.81,,,,
1987-09-15,,98.15,,936.45,,,,
1987-09-16,,98.22,,930.91,,,,
1987-09-17,,98.94,,934.09,,,,
1987-09-18,,99.21,,928.5,,,,
1987-09-21,,99.16,,927.1,,,,
1987-09-22,,98.96,,922.49,,,,
1987-09-23,,100.15,,937.85,,,,
1987-09-24,,99.07,,931.48,,,,
1987-09-25,,99.42,,928.34,,,,
1987-09-28,,100.42,,934.0,,,,
1987-09-29,,100.35,,936.2,,,,
1987-09-30,,100.16,,930.71,,,,
1987-10-01,,100.6,,938.2,,,,
1987-10-02,,101.24,,944.2,,,,
1987-10-05,,101.7,,949.42,,,,
1987-10-06,,101.18,,945.26,,,,
1987-10-07,,100.58,,935.79,,,,
1987-10-08,,101.12,,940.33,,,,
1987-10-09,,100.45,,926.63,,,,
1987-10-12,,99.3,,919.64,,,,
1987-10-13,,99.75,,921.87,,,,
1987-10-14,,99.1,,916.83,,,,
1987-10-15,,97.79,,901.83,,,,
1987-10-16,,97.04,,894.23,,,,
1987-10-19,,88.79,,823.32,,,,
1987-10-20,,81.65,,783.33,,,,
1987-10-21,,86.46,,831.37,,,,
1987-10-22,,82.75,,799.94,,,,
1987-10-23,,81.07,,788.59,,,,
1987-10-26,,75.63,,734.34,,,,
1987-10-27,,76.29,,741.49,,,,
1987-10-28,,73.16,,701.32,,,,
1987-10-29,,72.7,,691.31,,,,
1987-10-30,,76.32,,730.75,,,,
1987-11-02,,75.69,,725.43,,,,
1987-11-03,,73.65,,712.87,,,,
1987-11-04,,71.41,,689.49,,,,
1987-11-05,,71.5,,682.12,,,,
1987-11-06,,71.38,,683.04,,,,
1987-11-09,,68.96,,654.09,,,,
1987-11-10,,66.69,,615.9,,,,
1987-11-11,,68.76,,632.36,,,,
1987-11-12,,71.98,,676.32,,,,
1987-11-13,,71.73,,674.57,,,,
1987-11-16,,72.94,,694.95,,,,
1987-11-17,,71.62,,678.12,,,,
1987-11-18,,71.6,,676.37,,,,
1987-11-19,,70.61,,669.38,,,,
1987-11-20,,69.75,,653.27,,,,
