Nom,CAC 40 Gross Return
ISIN,QS0011131834
Symbole,PX1GR
Source,https://markets.ft.com/data/indices/tearsheet/summary?s=PX1GR%3APAR
Date,Close
1987-12-31,1000.0
1988-01-04,984.64
1988-01-05,1021.59
1988-01-06,1028.47
1988-01-07,1024.5
1988-01-08,1029.64
1988-01-11,999.14
1988-01-12,992.39
1988-01-13,968.49
1988-01-14,973.51
1988-01-15,1008.52
1988-01-18,988.23
1988-01-19,972.62
1988-01-20,941.25
1988-01-21,929.27
1988-01-22,917.86
1988-01-25,915.99
1988-01-26,923.99
1988-01-27,914.58
1988-01-28,904.24
1988-01-29,894.4
1988-02-01,912.94
1988-02-02,936.25
1988-02-03,959.15
1988-02-04,973.15
1988-02-05,988.11
1988-02-08,982.86
1988-02-09,982.18
1988-02-10,994.13
1988-02-11,1029.51
1988-02-12,1035.71
1988-02-15,1046.06
1988-02-16,1044.96
1988-02-17,1063.95
1988-02-18,1083.7
1988-02-19,1097.96
1988-02-22,1115.54
1988-02-23,1097.01
1988-02-24,1103.34
1988-02-25,1124.02
1988-02-26,1110.85
1988-02-29,1113.97
1988-03-01,1109.96
1988-03-02,1094.24
1988-03-03,1085.81
1988-03-04,1080.86
1988-03-07,1076.18
1988-03-08,1068.75
1988-03-09,1089.03
1988-03-10,1082.7
1988-03-11,1065.96
1988-03-14,1066.25
1988-03-15,1059.9
1988-03-16,1066.19
1988-03-17,1071.87
1988-03-18,1088.79
1988-03-21,1066.35
1988-03-22,1050.94
1988-03-23,1055.24
1988-03-24,1056.38
1988-03-25,1044.02
1988-03-28,1016.43
1988-03-29,1025.52
1988-03-30,1022.64
1988-03-31,1018.53
1988-04-05,1020.4
1988-04-06,1024.72
1988-04-07,1037.18
1988-04-08,1044.62
1988-04-11,1071.96
1988-04-12,1079.67
1988-04-13,1108.33
1988-04-14,1095.74
1988-04-15,1094.18
1988-04-18,1102.12
1988-04-19,1099.52
1988-04-20,1100.84
1988-04-21,1117.58
1988-04-22,1132.02
1988-04-25,1109.53
1988-04-26,1139.03
1988-04-27,1139.44
1988-04-28,1139.84
1988-04-29,1130.7
1988-05-02,1135.25
1988-05-03,1136.8
1988-05-04,1148.73
1988-05-05,1134.43
1988-05-06,1137.37
1988-05-09,1146.01
1988-05-10,1140.9
1988-05-11,1119.97
1988-05-12,1120.97
1988-05-13,1120.97
1988-05-16,1120.04
1988-05-17,1133.85
1988-05-18,1122.92
1988-05-19,1119.61
1988-05-20,1141.66
1988-05-24,1147.6
1988-05-25,1187.03
1988-05-26,1188.03
1988-05-27,1205.93
1988-05-30,1228.0
1988-05-31,1242.26
1988-06-01,1255.94
1988-06-02,1244.1
1988-06-03,1248.95
1988-06-06,1264.8
1988-06-07,1264.13
1988-06-08,1281.05
1988-06-09,1305.03
1988-06-10,1304.0
1988-06-13,1286.21
1988-06-14,1302.74
1988-06-15,1301.98
1988-06-16,1274.91
1988-06-17,1279.73
1988-06-20,1282.25
1988-06-21,1274.21
1988-06-22,1294.62
1988-06-23,1303.2
1988-06-24,1332.04
1988-06-27,1325.45
1988-06-28,1318.36
1988-06-29,1325.02
1988-06-30,1340.31
1988-07-01,1350.53
1988-07-04,1362.16
1988-07-05,1377.05
1988-07-06,1395.96
1988-07-07,1399.19
1988-07-08,1402.67
1988-07-11,1378.86
1988-07-12,1363.88
1988-07-13,1344.62
1988-07-15,1355.91
1988-07-18,1333.78
1988-07-19,1314.91
1988-07-20,1330.55
1988-07-21,1339.99
1988-07-22,1340.7
1988-07-25,1336.19
1988-07-26,1348.66
1988-07-27,1349.35
1988-07-28,1345.92
1988-07-29,1361.62
1988-08-01,1370.12
1988-08-02,1373.36
1988-08-03,1369.09
1988-08-04,1368.77
1988-08-05,1366.19
1988-08-08,1362.93
1988-08-09,1364.82
1988-08-10,1347.06
1988-08-11,1332.87
1988-08-12,1336.11
1988-08-16,1326.4
1988-08-17,1344.56
1988-08-18,1344.94
1988-08-19,1351.27
1988-08-22,1350.44
1988-08-23,1334.56
1988-08-24,1347.91
1988-08-25,1326.93
1988-08-26,1321.62
1988-08-29,1320.88
1988-08-30,1326.86
1988-08-31,1333.52
1988-09-01,1318.0
1988-09-02,1326.62
1988-09-05,1330.98
1988-09-06,1330.68
1988-09-07,1347.74
1988-09-08,1344.71
1988-09-09,1342.59
1988-09-12,1353.95
1988-09-13,1377.22
1988-09-14,1412.89
1988-09-15,1407.79
1988-09-16,1408.21
1988-09-19,1409.21
1988-09-20,1408.76
1988-09-21,1433.79
1988-09-22,1439.83
1988-09-23,1431.28
1988-09-26,1447.75
1988-09-27,1437.72
1988-09-28,1443.1
1988-09-29,1461.65
1988-09-30,1462.79
1988-10-03,1467.38
1988-10-04,1477.11
1988-10-05,1478.63
1988-10-06,1481.42
1988-10-07,1484.64
1988-10-10,1484.3
1988-10-11,1456.74
1988-10-12,1452.92
1988-10-13,1473.17
1988-10-14,1482.62
1988-10-17,1462.53
1988-10-18,1474.05
1988-10-19,1498.05
1988-10-20,1496.92
1988-10-21,1503.08
