Nom,CAC All-Tradable Gross Return
ISIN,QS0011131891
Symbole,CACTR
Source,https://markets.ft.com/data/indices/tearsheet/summary?s=CACTR%3APAR
Date,Close
2008-08-11,5283.01
2008-08-12,5261.6
2008-08-13,5128.31
2008-08-14,5147.11
2008-08-15,5187.23
2008-08-18,5179.34
2008-08-19,5041.15
2008-08-20,5076.54
2008-08-21,5010.52
2008-08-22,5121.93
2008-08-25,5072.11
2008-08-26,5088.11
2008-08-27,5093.96
2008-08-28,5191.45
2008-08-29,5220.24
2008-09-01,5206.35
2008-09-02,5284.84
2008-09-03,5185.19
2008-09-04,5025.68
2008-09-05,4901.72
2008-09-08,5070.31
2008-09-09,5013.16
2008-09-10,4998.48
2008-09-11,4954.91
2008-09-12,5047.96
2008-09-15,4867.5
2008-09-16,4779.71
2008-09-17,4679.92
2008-09-18,4632.13
2008-09-19,5042.2
2008-09-22,4931.86
2008-09-23,4834.38
2008-09-24,4802.63
2008-09-25,4918.6
2008-09-26,4839.65
2008-09-29,4602.91
2008-09-30,4691.81
2008-10-01,4713.84
2008-10-02,4612.65
2008-10-03,4729.51
2008-10-06,4311.01
2008-10-07,4313.19
2008-10-08,4053.06
2008-10-09,3995.99
2008-10-10,3697.09
2008-10-13,4094.97
2008-10-14,4212.18
2008-10-15,3931.3
2008-10-16,3704.98
2008-10-17,3857.88
2008-10-20,3986.04
2008-10-21,4017.0
2008-10-22,3822.68
2008-10-23,3827.72
2008-10-24,3686.26
2008-10-27,3541.49
2008-10-28,3596.14
2008-10-29,3908.34
2008-10-30,3928.17
2008-10-31,4017.61
2008-11-03,4067.1
2008-11-04,4252.89
2008-11-05,4170.11
2008-11-06,3908.26
2008-11-07,3994.1
2008-11-10,4040.75
2008-11-11,3860.07
2008-11-12,3751.13
2008-11-13,3780.04
2008-11-14,3820.51
2008-11-17,3699.99
2008-11-18,3731.93
2008-11-19,3585.46
2008-11-20,3462.09
2008-11-21,3353.19
2008-11-24,3674.46
2008-11-25,3720.14
2008-11-26,3679.01
2008-11-27,3769.99
2008-11-28,3786.02
2008-12-01,3583.52
2008-12-02,3660.33
2008-12-03,3676.62
2008-12-04,3671.2
2008-12-05,3482.77
2008-12-08,3764.28
2008-12-09,3822.94
2008-12-10,3850.43
2008-12-11,3838.45
2008-12-12,3736.45
2008-12-15,3711.58
2008-12-16,3782.36
2008-12-17,3768.04
2008-12-18,3758.81
2008-12-19,3746.74
2008-12-22,3661.12
2008-12-23,3641.08
2008-12-24,3625.37
2008-12-29,3645.33
2008-12-30,3738.01
2008-12-31,3743.08
2009-01-02,3894.96
2009-01-05,3916.1
2009-01-06,3960.6
2009-01-07,3904.92
2009-01-08,3877.94
2009-01-09,3851.43
2009-01-12,3789.19
2009-01-13,3731.48
2009-01-14,3566.93
2009-01-15,3506.05
2009-01-16,3528.91
2009-01-19,3501.47
2009-01-20,3424.67
2009-01-21,3403.76
2009-01-22,3367.37
2009-01-23,3338.72
2009-01-26,3457.89
2009-01-27,3459.71
2009-01-28,3597.72
2009-01-29,3526.16
2009-01-30,3490.39
2009-02-02,3432.66
2009-02-03,3490.16
2009-02-04,3587.1
2009-02-05,3587.26
2009-02-06,3655.51
2009-02-09,3670.71
2009-02-10,3546.88
2009-02-11,3552.71
2009-02-12,3479.78
2009-02-13,3514.63
2009-02-16,3477.55
2009-02-17,3376.44
2009-02-18,3369.38
2009-02-19,3369.38
2009-02-20,3231.61
2009-02-23,3199.29
2009-02-24,3171.54
2009-02-25,3165.4
2009-02-26,3219.55
2009-02-27,3177.32
2009-03-02,3039.32
2009-03-03,3005.04
2009-03-04,3142.11
2009-03-05,3024.1
2009-03-06,2980.22
2009-03-09,2962.3
2009-03-10,3123.03
2009-03-11,3134.49
2009-03-12,3159.51
2009-03-13,3169.15
2009-03-16,3265.54
