Nom,CAC All-Tradable
ISIN,FR0003999499
Symbole,CACT
Source,https://markets.ft.com/data/indices/tearsheet/summary?s=CACT%3APAR
Date,Close
1990-12-28,1000.0
1991-01-02,988.97
1991-01-03,1002.64
1991-01-04,1006.68
1991-01-07,990.47
1991-01-08,985.08
1991-01-09,1005.1
1991-01-10,981.6
1991-01-11,975.73
1991-01-14,950.59
1991-01-15,958.74
1991-01-16,958.36
1991-01-17,1011.6
1991-01-18,1006.15
1991-01-21,1001.45
1991-01-22,996.47
1991-01-23,985.6
1991-01-24,1000.96
1991-01-25,1005.84
1991-01-28,1007.21
1991-01-29,1000.87
1991-01-30,1015.36
1991-01-31,1016.86
1991-02-01,1017.15
1991-02-04,1019.19
1991-02-05,1032.29
1991-02-06,1029.87
1991-02-07,1032.64
1991-02-08,1046.11
1991-02-11,1053.96
1991-02-12,1049.83
1991-02-13,1055.28
1991-02-14,1066.13
1991-02-15,1075.11
1991-02-18,1088.98
1991-02-19,1093.87
1991-02-20,1089.75
1991-02-21,1099.56
1991-02-22,1108.04
1991-02-25,1125.31
1991-02-26,1111.17
1991-02-27,1119.69
1991-02-28,1136.18
1991-03-01,1130.75
1991-03-04,1141.34
1991-03-05,1159.53
1991-03-06,1172.97
1991-03-07,1178.32
1991-03-08,1179.55
1991-03-11,1164.0
1991-03-12,1165.36
1991-03-13,1155.85
1991-03-14,1171.23
1991-03-15,1163.69
1991-03-18,1152.58
1991-03-19,1135.44
1991-03-20,1137.93
1991-03-21,1147.8
1991-03-22,1144.9
1991-03-25,1145.48
1991-03-26,1145.13
1991-03-27,1155.66
1991-03-28,1164.87
1991-04-02,1170.66
1991-04-03,1184.52
1991-04-04,1180.22
1991-04-05,1187.36
1991-04-08,1185.39
1991-04-09,1185.04
1991-04-10,1170.6
1991-04-11,1175.13
1991-04-12,1175.26
1991-04-15,1176.47
1991-04-16,1167.06
1991-04-17,1177.62
1991-04-18,1170.39
1991-04-19,1160.39
1991-04-22,1148.77
1991-04-23,1155.48
1991-04-24,1154.82
1991-04-25,1151.64
1991-04-26,1150.43
1991-04-29,1159.03
1991-04-30,1152.33
1991-05-02,1171.47
1991-05-03,1176.43
1991-05-06,1174.68
1991-05-07,1174.86
1991-05-10,1184.7
1991-05-13,1177.1
1991-05-14,1162.65
1991-05-15,1160.95
1991-05-16,1171.21
1991-05-17,1171.25
1991-05-21,1170.2
1991-05-22,1168.99
1991-05-23,1162.04
1991-05-24,1157.25
1991-05-27,1155.04
1991-05-28,1156.64
1991-05-29,1163.76
1991-05-30,1167.54
1991-05-31,1178.75
1991-06-03,1182.35
1991-06-04,1176.87
1991-06-05,1181.57
1991-06-06,1183.25
1991-06-07,1179.1
1991-06-10,1174.98
1991-06-11,1186.66
1991-06-12,1175.02
1991-06-13,1172.89
1991-06-14,1176.44
1991-06-17,1169.68
1991-06-18,1162.75
1991-06-19,1146.53
1991-06-20,1141.65
1991-06-21,1147.45
1991-06-24,1133.52
1991-06-25,1133.22
1991-06-26,1125.55
1991-06-27,1127.93
1991-06-28,1118.77
1991-07-01,1128.08
1991-07-02,1119.82
1991-07-03,1105.0
1991-07-04,1100.32
1991-07-05,1105.79
1991-07-08,1099.77
1991-07-09,1108.63
1991-07-10,1119.56
1991-07-11,1119.43
1991-07-12,1121.89
1991-07-15,1123.14
1991-07-16,1122.43
1991-07-17,1123.07
1991-07-18,1122.09
1991-07-19,1122.67
1991-07-22,1120.5
1991-07-23,1120.87
1991-07-24,1132.75
1991-07-25,1133.87
1991-07-26,1129.06
1991-07-29,1124.49
1991-07-30,1123.75
1991-07-31,1121.59
1991-08-01,1126.16
1991-08-02,1125.5
1991-08-05,1122.69
1991-08-06,1121.04
1991-08-07,1130.64
1991-08-08,1133.48
1991-08-09,1131.63
1991-08-12,1130.13
1991-08-13,1140.76
1991-08-14,1147.38
1991-08-19,1075.74
1991-08-20,1097.46
1991-08-21,1129.04
1991-08-22,1142.47
1991-08-23,1151.98
1991-08-26,1164.28
1991-08-27,1164.25
1991-08-28,1166.78
1991-08-29,1171.0
1991-08-30,1174.19
1991-09-02,1174.56
1991-09-03,1180.94
1991-09-04,1176.47
1991-09-05,1182.02
1991-09-06,1178.86
1991-09-09,1176.07
1991-09-10,1168.18
1991-09-11,1169.71
1991-09-12,1178.7
1991-09-13,1187.61
1991-09-16,1188.2
1991-09-17,1189.07
1991-09-18,1183.29
1991-09-19,1185.69
1991-09-20,1188.97
1991-09-23,1190.96
1991-09-24,1190.94
1991-09-25,1188.58
1991-09-26,1185.18
1991-09-27,1188.46
1991-09-30,1188.41
1991-10-01,1192.47
1991-10-02,1190.33
1991-10-03,1184.85
1991-10-04,1177.05
1991-10-07,1171.22
1991-10-08,1171.63
1991-10-09,1169.49
1991-10-10,1168.55
1991-10-11,1163.95
1991-10-14,1162.14
1991-10-15,1174.79
1991-10-16,1178.76
1991-10-17,1176.32
1991-10-18,1177.87
1991-10-21,1169.62
1991-10-22,1165.58
1991-10-23,1163.87
1991-10-24,1164.26
1991-10-25,1165.86
1991-10-28,1174.76
1991-10-29,1174.65
1991-10-30,1178.77
1991-10-31,1178.29
1991-11-04,1172.22
1991-11-05,1174.68
1991-11-06,1169.67
1991-11-07,1170.5
1991-11-08,1179.1
1991-11-12,1179.17
1991-11-13,1174.78
1991-11-14,1186.09
1991-11-15,1184.78
1991-11-18,1158.1
1991-11-19,1137.37
1991-11-20,1136.4
1991-11-21,1136.57
1991-11-22,1124.35
1991-11-25,1124.3
1991-11-26,1135.49
1991-11-27,1131.64
1991-11-28,1130.35
1991-11-29,1122.67
1991-12-02,1106.42
1991-12-03,1111.81
1991-12-04,1109.01
1991-12-05,1101.82
1991-12-06,1091.44
1991-12-09,1076.56
1991-12-10,1059.34
1991-12-11,1061.56
1991-12-12,1077.7
1991-12-13,1089.71
1991-12-16,1092.07
1991-12-17,1097.91
1991-12-18,1094.65
1991-12-19,1083.03
1991-12-20,1065.69
1991-12-23,1058.13
1991-12-24,1088.49
1991-12-26,1100.02
1991-12-27,1101.62
1991-12-30,1111.56
1991-12-31,1126.41
1992-01-02,1118.68
1992-01-03,1129.99
1992-01-06,1140.02
1992-01-07,1134.85
1992-01-08,1136.78
1992-01-09,1162.16
1992-01-10,1167.49
1992-01-13,1160.32
1992-01-14,1169.65
1992-01-15,1186.24
1992-01-16,1182.72
1992-01-17,1183.26
1992-01-20,1183.62
1992-01-21,1185.97
1992-01-22,1176.56
1992-01-23,1176.34
1992-01-24,1180.97
1992-01-27,1191.73
