Nom,EURO STOXX 50® (Gross Return EUR)
ISIN,CH0102173264
Symbole,SX5GT
Source,https://stoxx.com/index/sx5gt/?factsheet=true
Date,Close
2000-12-31,1000.0
2001-01-02,985.3
2001-01-03,976.66
2001-01-04,995.99
2001-01-05,992.17
2001-01-08,987.28
2001-01-09,972.75
2001-01-10,963.65
2001-01-11,982.38
2001-01-12,993.09
2001-01-15,998.45
2001-01-16,983.84
2001-01-17,1003.46
2001-01-18,996.66
2001-01-19,989.33
2001-01-22,994.23
2001-01-23,994.34
2001-01-24,1000.49
2001-01-25,1001.76
2001-01-26,997.75
2001-01-29,997.1
2001-01-30,990.76
2001-01-31,1001.93
2001-02-01,987.2
2001-02-02,977.98
2001-02-05,978.69
2001-02-06,986.71
2001-02-07,971.53
2001-02-08,975.46
2001-02-09,960.91
2001-02-12,970.22
2001-02-13,970.53
2001-02-14,955.19
2001-02-15,966.0
2001-02-16,947.53
2001-02-19,946.77
2001-02-20,939.37
2001-02-21,924.97
2001-02-22,910.87
2001-02-23,888.6
2001-02-26,903.98
2001-02-27,908.84
2001-02-28,905.81
2001-03-01,898.27
2001-03-02,901.93
2001-03-05,911.79
2001-03-06,925.36
2001-03-07,925.68
2001-03-08,916.65
2001-03-09,909.03
2001-03-12,884.68
2001-03-13,877.55
2001-03-14,864.93
2001-03-15,880.89
2001-03-16,861.33
2001-03-19,856.87
2001-03-20,872.16
2001-03-21,853.03
2001-03-22,816.75
2001-03-23,840.07
2001-03-26,869.72
2001-03-27,887.76
2001-03-28,872.6
2001-03-29,874.32
2001-03-30,878.58
2001-04-02,879.8
2001-04-03,847.96
2001-04-04,852.78
2001-04-05,872.92
2001-04-06,870.36
2001-04-09,882.59
2001-04-10,904.14
2001-04-11,908.37
2001-04-12,911.37
2001-04-17,902.43
2001-04-18,933.55
2001-04-19,929.57
2001-04-20,921.8
2001-04-23,910.85
2001-04-24,919.45
2001-04-25,917.49
2001-04-26,926.38
2001-04-27,941.31
2001-04-30,952.67
2001-05-02,946.75
2001-05-03,927.27
2001-05-04,930.53
2001-05-07,935.66
2001-05-08,936.09
2001-05-09,930.92
2001-05-10,952.78
2001-05-11,945.14
2001-05-14,934.72
2001-05-15,940.44
2001-05-16,939.54
2001-05-17,951.26
2001-05-18,961.47
2001-05-21,965.1
2001-05-22,970.03
2001-05-23,960.42
2001-05-24,965.8
2001-05-25,952.64
2001-05-28,955.71
2001-05-29,949.51
2001-05-30,936.18
2001-05-31,939.13
2001-06-01,936.8
2001-06-04,940.56
2001-06-05,953.63
2001-06-06,948.46
2001-06-07,944.52
2001-06-08,945.07
2001-06-11,939.97
2001-06-12,911.11
2001-06-13,921.08
2001-06-14,909.82
2001-06-15,900.21
2001-06-18,886.53
2001-06-19,892.15
2001-06-20,887.99
2001-06-21,887.61
2001-06-22,892.05
2001-06-25,895.63
2001-06-26,881.16
2001-06-27,877.01
2001-06-28,886.64
2001-06-29,902.47
2001-07-02,915.53
2001-07-03,902.64
2001-07-04,896.43
2001-07-05,890.23
2001-07-06,867.04
2001-07-09,867.34
2001-07-10,857.92
2001-07-11,845.51
2001-07-12,853.45
2001-07-13,860.11
2001-07-16,853.6
2001-07-17,850.29
2001-07-18,832.26
2001-07-19,849.29
2001-07-20,840.01
2001-07-23,846.33
2001-07-24,836.31
2001-07-25,821.54
2001-07-26,833.25
2001-07-27,848.3
2001-07-30,861.33
2001-07-31,870.79
2001-08-01,870.97
2001-08-02,865.48
2001-08-03,857.32
2001-08-06,861.45
2001-08-07,861.11
2001-08-08,846.26
2001-08-09,827.53
2001-08-10,815.52
2001-08-13,825.46
2001-08-14,836.11
2001-08-15,829.74
2001-08-16,820.03
