Nom,EURO STOXX 50® (Price Return EUR)
ISIN,EU0009658145
Symbole,SX5E
Source,https://stoxx.com/index/sx5e/?factsheet=true
Date,Close
1986-12-31,900.82
1987-01-01,900.82
1987-01-02,891.78
1987-01-05,898.33
1987-01-06,902.32
1987-01-07,899.15
1987-01-08,887.37
1987-01-09,868.31
1987-01-12,879.41
1987-01-13,872.74
1987-01-14,876.39
1987-01-15,884.37
1987-01-16,883.78
1987-01-19,876.15
1987-01-20,875.1
1987-01-21,872.47
1987-01-22,876.69
1987-01-23,883.62
1987-01-26,870.96
1987-01-27,868.19
1987-01-28,838.6
1987-01-29,847.38
1987-01-30,859.08
1987-02-02,849.03
1987-02-03,839.6
1987-02-04,838.53
1987-02-05,833.03
1987-02-06,842.23
1987-02-09,844.73
1987-02-10,837.91
1987-02-11,837.56
1987-02-12,840.53
1987-02-13,841.54
1987-02-16,844.11
1987-02-17,833.81
1987-02-18,834.15
1987-02-19,844.07
1987-02-20,845.11
1987-02-23,839.36
1987-02-24,837.9
1987-02-25,833.39
1987-02-26,838.23
1987-02-27,840.97
1987-03-02,842.7
1987-03-03,836.22
1987-03-04,848.78
1987-03-05,855.04
1987-03-06,854.82
1987-03-09,856.93
1987-03-10,850.99
1987-03-11,844.78
1987-03-12,851.62
1987-03-13,855.0
1987-03-16,855.21
1987-03-17,848.47
1987-03-18,854.69
1987-03-19,842.48
1987-03-20,848.13
1987-03-23,860.44
1987-03-24,866.76
1987-03-25,868.3
1987-03-26,874.75
1987-03-27,882.89
1987-03-30,877.3
1987-03-31,869.44
1987-04-01,883.95
1987-04-02,888.39
1987-04-03,888.97
1987-04-06,900.79
1987-04-07,896.33
1987-04-08,895.42
1987-04-09,895.62
1987-04-10,884.61
1987-04-13,875.19
1987-04-14,881.0
1987-04-15,888.71
1987-04-16,895.48
1987-04-17,896.06
1987-04-20,893.33
1987-04-21,889.55
1987-04-22,900.5
1987-04-23,896.53
1987-04-24,890.62
1987-04-27,871.69
1987-04-28,879.07
1987-04-29,884.37
1987-04-30,881.46
1987-05-01,883.32
1987-05-04,880.31
1987-05-05,875.43
1987-05-06,880.91
1987-05-07,882.84
1987-05-08,882.7
1987-05-11,887.34
1987-05-12,879.78
1987-05-13,882.77
1987-05-14,883.11
1987-05-15,866.11
1987-05-18,868.85
1987-05-19,865.65
1987-05-20,856.08
1987-05-21,854.02
1987-05-22,857.63
1987-05-25,856.95
1987-05-26,864.83
1987-05-27,869.49
1987-05-28,869.29
1987-05-29,866.41
1987-06-01,872.52
1987-06-02,863.11
1987-06-03,864.57
1987-06-04,869.42
1987-06-05,864.75
1987-06-08,866.08
1987-06-09,863.17
1987-06-10,860.8
1987-06-11,868.26
1987-06-12,869.28
1987-06-15,879.82
1987-06-16,885.41
1987-06-17,885.93
1987-06-18,885.19
1987-06-19,897.16
1987-06-22,908.73
1987-06-23,915.58
1987-06-24,901.6
1987-06-25,903.66
1987-06-26,909.42
1987-06-29,909.76
1987-06-30,905.3
1987-07-01,894.32
1987-07-02,904.15
1987-07-03,917.81
1987-07-06,918.19
1987-07-07,917.15
1987-07-08,923.2
1987-07-09,920.76
1987-07-10,921.82
1987-07-13,921.73
1987-07-14,925.93
1987-07-15,928.92
1987-07-16,932.15
1987-07-17,941.03
1987-07-20,945.38
1987-07-21,941.54
1987-07-22,937.13
1987-07-23,932.12
1987-07-24,933.19
1987-07-27,936.9
1987-07-28,941.84
1987-07-29,949.38
1987-07-30,957.8
1987-07-31,955.83
1987-08-03,959.68
1987-08-04,957.2
1987-08-05,955.55
1987-08-06,961.22
1987-08-07,963.12
1987-08-10,962.46
1987-08-11,952.68
1987-08-12,961.8
1987-08-13,959.8
