Nom,STOXX® Europe 600 (Gross Return EUR)
ISIN,CH0102635015
Symbole,SXXGR
Source,https://stoxx.com/index/sxxgr/?factsheet=true
Date,Close
2000-12-31,100.0
2001-01-02,99.09
2001-01-03,98.12
2001-01-04,99.57
2001-01-05,99.16
2001-01-08,98.76
2001-01-09,97.96
2001-01-10,97.43
2001-01-11,98.37
2001-01-12,98.85
2001-01-15,99.44
2001-01-16,98.05
2001-01-17,100.42
2001-01-18,100.0
2001-01-19,99.78
2001-01-22,99.79
2001-01-23,99.7
2001-01-24,100.76
2001-01-25,101.12
2001-01-26,100.95
2001-01-29,101.27
2001-01-30,101.01
2001-01-31,101.24
2001-02-01,100.21
2001-02-02,99.71
2001-02-05,99.62
2001-02-06,100.2
2001-02-07,98.98
2001-02-08,99.19
2001-02-09,97.88
2001-02-12,98.53
2001-02-13,98.95
2001-02-14,97.82
2001-02-15,99.12
2001-02-16,97.07
2001-02-19,96.63
2001-02-20,96.02
2001-02-21,95.31
2001-02-22,95.07
2001-02-23,93.36
2001-02-26,94.02
2001-02-27,94.19
2001-02-28,93.74
2001-03-01,92.89
2001-03-02,92.99
2001-03-05,94.0
2001-03-06,95.13
2001-03-07,95.14
2001-03-08,94.78
2001-03-09,93.7
2001-03-12,91.66
2001-03-13,90.75
2001-03-14,89.37
2001-03-15,90.96
2001-03-16,88.78
2001-03-19,88.04
2001-03-20,89.2
2001-03-21,87.75
2001-03-22,84.29
2001-03-23,86.12
2001-03-26,88.9
2001-03-27,90.83
2001-03-28,89.69
2001-03-29,89.83
2001-03-30,90.28
2001-04-02,89.85
2001-04-03,87.04
2001-04-04,87.35
2001-04-05,89.18
2001-04-06,88.9
2001-04-09,90.24
2001-04-10,92.45
2001-04-11,92.86
2001-04-12,92.64
2001-04-17,92.44
2001-04-18,94.65
2001-04-19,94.53
2001-04-20,93.69
2001-04-23,93.06
2001-04-24,93.46
2001-04-25,93.3
2001-04-26,93.77
2001-04-27,95.32
2001-04-30,96.27
2001-05-02,95.59
2001-05-03,93.93
2001-05-04,94.69
2001-05-07,95.26
2001-05-08,95.3
2001-05-09,94.82
2001-05-10,96.53
2001-05-11,96.1
2001-05-14,94.57
2001-05-15,95.58
2001-05-16,95.77
2001-05-17,96.68
2001-05-18,97.68
2001-05-21,98.21
2001-05-22,99.06
2001-05-23,98.29
2001-05-24,98.24
2001-05-25,97.76
2001-05-28,97.89
2001-05-29,97.47
2001-05-30,96.38
2001-05-31,96.72
2001-06-01,96.62
2001-06-04,97.03
2001-06-05,97.84
2001-06-06,97.17
2001-06-07,97.07
2001-06-08,96.74
2001-06-11,95.97
2001-06-12,94.15
2001-06-13,94.88
2001-06-14,93.48
2001-06-15,92.86
2001-06-18,92.05
2001-06-19,92.51
2001-06-20,92.19
2001-06-21,92.27
2001-06-22,92.43
2001-06-25,92.36
2001-06-26,90.9
2001-06-27,91.15
2001-06-28,92.5
2001-06-29,93.33
2001-07-02,94.61
2001-07-03,93.24
2001-07-04,92.74
2001-07-05,92.2
2001-07-06,90.25
2001-07-09,90.1
2001-07-10,89.44
2001-07-11,88.11
2001-07-12,89.44
2001-07-13,89.91
2001-07-16,89.4
2001-07-17,88.44
2001-07-18,87.44
2001-07-19,88.88
2001-07-20,88.05
2001-07-23,88.25
2001-07-24,86.93
2001-07-25,85.71
2001-07-26,86.38
2001-07-27,87.91
2001-07-30,88.96
2001-07-31,89.89
2001-08-01,90.18
2001-08-02,90.19
2001-08-03,89.43
2001-08-06,89.34
2001-08-07,89.49
2001-08-08,88.41
2001-08-09,86.7
2001-08-10,86.06
2001-08-13,86.4
2001-08-14,87.49
2001-08-15,86.85
2001-08-16,85.87
2001-08-17,84.64
2001-08-20,84.67
2001-08-21,85.69
2001-08-22,85.44
2001-08-23,85.57
2001-08-24,86.89
2001-08-27,87.01
2001-08-28,86.21
2001-08-29,86.02
2001-08-30,84.34
2001-08-31,84.63
2001-09-03,83.81
