Nom,CAC 40 Gross Return
ISIN,QS0011131834
Symbole,PX1GR
Source,https://markets.ft.com/data/indices/tearsheet/summary?s=PX1GR%3APAR
Date,Close
1988-01-31,894.4
1988-02-29,1113.97
1988-03-31,1018.53
1988-04-30,1130.7
1988-05-31,1242.26
1988-06-30,1340.31
1988-07-31,1361.62
1988-08-31,1333.52
1988-09-30,1462.79
1988-10-31,1543.97
1988-11-30,1524.75
1988-12-31,1623.5
1989-01-31,1707.78
1989-02-28,1631.12
1989-03-31,1698.49
1989-04-30,1736.63
1989-05-31,1791.89
1989-06-30,1810.91
1989-07-31,1924.13
1989-08-31,1991.02
1989-09-30,2023.07
1989-10-31,1931.15
1989-11-30,2007.05
1989-12-31,2124.53
1990-01-31,1999.63
1990-02-28,1964.63
1990-03-31,2095.05
1990-04-30,2175.71
1990-05-31,2244.35
1990-06-30,2195.4
1990-07-31,2145.42
1990-08-31,1845.25
1990-09-30,1628.63
1990-10-31,1796.56
1990-11-30,1753.15
1990-12-31,1657.91
1991-01-31,1729.08
1991-02-28,1925.31
1991-03-31,1987.87
1991-04-30,1948.53
1991-05-31,2040.25
1991-06-30,1938.74
1991-07-31,1982.92
1991-08-31,2106.7
1991-09-30,2125.15
1991-10-31,2098.12
1991-11-30,1966.76
1991-12-31,1996.1
1992-01-31,2120.8
1992-02-29,2243.27
1992-03-31,2197.66
1992-04-30,2299.3
1992-05-31,2304.84
1992-06-30,2189.0
1992-07-31,2048.33
1992-08-31,1966.86
1992-09-30,2027.39
1992-10-31,2034.0
1992-11-30,2068.66
1992-12-31,2169.57
1993-01-31,2070.47
1993-02-28,2318.12
1993-03-31,2374.51
1993-04-30,2267.86
1993-05-31,2211.64
1993-06-30,2351.61
1993-07-31,2514.73
1993-08-31,2672.2
1993-09-30,2549.39
1993-10-31,2630.56
1993-11-30,2544.68
1993-12-31,2735.38
1994-01-31,2815.97
1994-02-28,2699.97
1994-03-31,2512.28
1994-04-30,2615.14
1994-05-31,2458.1
1994-06-30,2329.34
1994-07-31,2580.45
1994-08-31,2573.1
1994-09-30,2337.04
1994-10-31,2369.93
1994-11-30,2458.45
1994-12-31,2340.49
1995-01-31,2237.76
1995-02-28,2211.71
1995-03-31,2315.16
1995-04-30,2390.29
1995-05-31,2434.24
1995-06-30,2371.28
1995-07-31,2467.34
1995-08-31,2420.19
1995-09-30,2298.09
1995-10-31,2331.03
1995-11-30,2350.54
1995-12-31,2406.75
1996-01-31,2599.03
1996-02-29,2560.25
1996-03-31,2629.7
1996-04-30,2763.73
1996-05-31,2730.87
1996-06-30,2797.3
1996-07-31,2644.11
1996-08-31,2610.6
1996-09-30,2825.48
1996-10-31,2835.73
1996-11-30,3069.07
1996-12-31,3070.84
1997-01-31,3337.76
1997-02-28,3458.65
1997-03-31,3523.8
1997-04-30,3504.2
1997-05-31,3449.37
1997-06-30,3872.62
1997-07-31,4186.01
1997-08-31,3770.64
1997-09-30,4094.26
1997-10-31,3728.24
1997-11-30,3891.42
1997-12-31,4082.82
1998-01-31,4319.05
1998-02-28,4659.35
1998-03-31,5277.42
1998-04-30,5287.5
1998-05-31,5538.27
1998-06-30,5822.28
1998-07-31,5797.96
1998-08-31,5068.63
1998-09-30,4438.64
1998-10-31,4889.7
1998-11-30,5334.52
1998-12-31,5473.6
1999-01-31,5903.12
1999-02-28,5682.73
1999-03-31,5829.04
1999-04-30,6122.06
1999-05-31,6078.59
1999-06-30,6402.5
1999-07-31,6204.14
1999-08-31,6497.42
1999-09-30,6500.58
1999-10-31,6921.36
1999-11-30,7562.72
1999-12-31,8437.21
2000-01-31,8014.51
2000-02-29,8766.83
2000-03-31,8902.19
2000-04-30,9104.88
2000-05-31,9166.8
2000-06-30,9250.71
2000-07-31,9400.49
2000-08-31,9519.64
2000-09-30,9005.37
2000-10-31,9193.61
2000-11-30,8518.78
2000-12-31,8517.6
2001-01-31,8621.18
2001-02-28,7714.3
2001-03-31,7446.25
2001-04-30,8106.84
2001-05-31,7937.88
2001-06-30,7660.84
2001-07-31,7461.12
2001-08-31,6879.89
2001-09-30,5984.44
2001-10-31,6369.18
2001-11-30,6566.9
2001-12-31,6786.03
2002-01-31,6547.3
2002-02-28,6549.0
2002-03-31,6880.22
2002-04-30,6570.54
2002-05-31,6381.15
2002-06-30,5863.81
2002-07-31,5148.33
2002-08-31,5074.24
2002-09-30,4186.76
2002-10-31,4748.41
2002-11-30,5014.63
2002-12-31,4619.7
2003-01-31,4429.66
2003-02-28,4152.54
2003-03-31,3949.11
2003-04-30,4478.01
2003-05-31,4609.79
2003-06-30,4799.65
2003-07-31,4995.98
2003-08-31,5153.4
2003-09-30,4878.83
2003-10-31,5249.55
2003-11-30,5329.83
2003-12-31,5537.81
2004-01-31,5663.87
2004-02-29,5799.31
2004-03-31,5644.15
2004-04-30,5729.68
2004-05-31,5853.68
2004-06-30,6001.95
2004-07-31,5863.86
2004-08-31,5778.94
2004-09-30,5853.75
2004-10-31,5960.21
2004-11-30,6054.53
2004-12-31,6168.94
