Nom,CAC 40
ISIN,FR0003500008
Symbole,CAC
Source,https://markets.ft.com/data/indices/tearsheet/summary?s=CAC%3APAR
Date,Close
1988-01-31,893.82
1988-02-29,1112.58
1988-03-31,1016.71
1988-04-30,1127.54
1988-05-31,1235.78
1988-06-30,1320.17
1988-07-31,1320.55
1988-08-31,1291.45
1988-09-30,1417.32
1988-10-31,1495.96
1988-11-30,1480.75
1988-12-31,1573.94
1989-01-31,1654.99
1989-02-28,1580.07
1989-03-31,1644.81
1989-04-30,1680.53
1989-05-31,1729.65
1989-06-30,1727.86
1989-07-31,1814.19
1989-08-31,1875.92
1989-09-30,1906.12
1989-10-31,1819.51
1989-11-30,1890.43
1989-12-31,2001.08
1990-01-31,1882.88
1990-02-28,1849.68
1990-03-31,1971.79
1990-04-30,2046.46
1990-05-31,2107.51
1990-06-30,2035.03
1990-07-31,1965.57
1990-08-31,1690.17
1990-09-30,1491.76
1990-10-31,1645.57
1990-11-30,1605.12
1990-12-31,1517.93
1991-01-31,1580.67
1991-02-28,1759.79
1991-03-31,1816.36
1991-04-30,1779.18
1991-05-31,1861.78
1991-06-30,1747.62
1991-07-31,1754.73
1991-08-31,1864.26
1991-09-30,1880.59
1991-10-31,1856.67
1991-11-30,1739.7
1991-12-31,1765.66
1992-01-31,1875.25
1992-02-29,1983.38
1992-03-31,1942.43
1992-04-30,2031.14
1992-05-31,2033.29
1992-06-30,1900.63
1992-07-31,1754.67
1992-08-31,1684.88
1992-09-30,1736.73
1992-10-31,1742.4
1992-11-30,1771.37
1992-12-31,1857.78
1993-01-31,1772.21
1993-02-28,1983.71
1993-03-31,2031.38
1993-04-30,1939.03
1993-05-31,1888.7
1993-06-30,1971.87
1993-07-31,2085.88
1993-08-31,2216.49
1993-09-30,2114.63
1993-10-31,2181.95
1993-11-30,2110.09
1993-12-31,2268.22
1994-01-31,2334.36
1994-02-28,2238.06
1994-03-31,2081.94
1994-04-30,2165.96
1994-05-31,2029.9
1994-06-30,1892.0
1994-07-31,2074.99
1994-08-31,2069.08
1994-09-30,1879.25
1994-10-31,1905.69
1994-11-30,1975.94
1994-12-31,1881.15
1995-01-31,1797.9
1995-02-28,1776.85
1995-03-31,1859.48
1995-04-30,1918.46
1995-05-31,1947.95
1995-06-30,1858.82
1995-07-31,1920.04
1995-08-31,1883.39
1995-09-30,1788.35
1995-10-31,1814.01
1995-11-30,1828.28
1995-12-31,1871.97
1996-01-31,2021.03
1996-02-29,1990.77
1996-03-31,2044.77
1996-04-30,2146.79
1996-05-31,2110.06
1996-06-30,2123.7
1996-07-31,1995.89
1996-08-31,1970.61
1996-09-30,2132.81
1996-10-31,2140.51
1996-11-30,2315.66
1996-12-31,2315.73
1997-01-31,2516.56
1997-02-28,2607.55
1997-03-31,2656.68
1997-04-30,2639.46
1997-05-31,2583.94
1997-06-30,2858.26
1997-07-31,3075.67
1997-08-31,2770.49
1997-09-30,3008.26
1997-10-31,2739.3
1997-11-30,2859.19
1997-12-31,2998.91
1998-01-31,3172.14
1998-02-28,3421.92
1998-03-31,3875.81
1998-04-30,3880.92
1998-05-31,4041.16
1998-06-30,4203.45
1998-07-31,4177.31
1998-08-31,3651.85
1998-09-30,3197.95
1998-10-31,3522.93
1998-11-30,3843.38
1998-12-31,3942.66
1999-01-31,4251.8
1999-02-28,4092.94
1999-03-31,4197.88
1999-04-30,4405.35
1999-05-31,4351.29
1999-06-30,4536.61
1999-07-31,4382.06
1999-08-31,4589.22
1999-09-30,4591.42
1999-10-31,4888.62
1999-11-30,5341.62
1999-12-31,5958.32
2000-01-31,5659.81
2000-02-29,6190.96
2000-03-31,6286.05
2000-04-30,6419.72
2000-05-31,6426.26
2000-06-30,6446.54
2000-07-31,6542.49
2000-08-31,6625.42
2000-09-30,6266.63
2000-10-31,6397.66
2000-11-30,5928.08
2000-12-31,5926.42
2001-01-31,5998.49
2001-02-28,5367.48
2001-03-31,5180.45
2001-04-30,5640.03
2001-05-31,5454.19
2001-06-30,5225.33
2001-07-31,5085.51
2001-08-31,4689.34
2001-09-30,4079.02
2001-10-31,4341.29
2001-11-30,4476.06
2001-12-31,4624.58
2002-01-31,4461.87
2002-02-28,4462.99
2002-03-31,4688.02
2002-04-30,4462.74
2002-05-31,4274.64
2002-06-30,3897.99
2002-07-31,3415.38
2002-08-31,3366.21
2002-09-30,2777.45
2002-10-31,3150.04
2002-11-30,3326.65
2002-12-31,3063.91
2003-01-31,2937.88
2003-02-28,2754.07
2003-03-31,2618.46
2003-04-30,2953.67
2003-05-31,2991.75
2003-06-30,3084.1
2003-07-31,3210.27
2003-08-31,3311.42
2003-09-30,3134.99
2003-10-31,3373.2
2003-11-30,3424.79
2003-12-31,3557.9
2004-01-31,3638.44
2004-02-29,3725.44
2004-03-31,3625.23
2004-04-30,3674.28
2004-05-31,3669.63
2004-06-30,3732.99
