Nom,CAC All-Tradable Gross Return
ISIN,QS0011131891
Symbole,CACTR
Source,https://markets.ft.com/data/indices/tearsheet/summary?s=CACTR%3APAR
Date,Close
2008-08-31,5220.24
2008-09-30,4691.81
2008-10-31,4017.61
2008-11-30,3786.02
2008-12-31,3743.08
2009-01-31,3490.39
2009-02-28,3177.32
2009-03-31,3292.77
2009-04-30,3748.62
2009-05-31,3962.59
2009-06-30,3834.77
2009-07-31,4181.43
2009-08-31,4469.46
2009-09-30,4671.53
2009-10-31,4434.8
2009-11-30,4517.14
2009-12-31,4829.77
2010-01-31,4633.35
2010-02-28,4603.67
2010-03-31,4937.37
2010-04-30,4785.05
2010-05-31,4515.97
2010-06-30,4453.48
2010-07-31,4712.46
2010-08-31,4536.59
2010-09-30,4835.03
2010-10-31,4997.88
2010-11-30,4758.51
2010-12-31,5032.1
2011-01-31,5261.8
2011-02-28,5403.11
2011-03-31,5263.45
2011-04-30,5442.05
2011-05-31,5444.82
2011-06-30,5437.34
2011-07-31,5060.13
2011-08-31,4526.53
2011-09-30,4152.24
2011-10-31,4487.64
2011-11-30,4362.5
2011-12-31,4380.47
2012-01-31,4601.39
2012-02-29,4823.0
2012-03-31,4818.07
2012-04-30,4565.67
2012-05-31,4359.13
2012-06-30,4628.76
2012-07-31,4771.73
2012-08-31,4935.63
2012-09-30,4908.73
2012-10-31,4999.47
2012-11-30,5191.83
2012-12-31,5313.94
2013-01-31,5465.5
2013-02-28,5486.83
2013-03-31,5503.57
2013-04-30,5675.67
2013-05-31,5920.03
2013-06-30,5643.94
2013-07-31,6037.6
2013-08-31,5957.91
2013-09-30,6286.03
2013-10-31,6518.28
2013-11-30,6540.0
2013-12-31,6573.59
2014-01-31,6406.82
2014-02-28,6795.5
2014-03-31,6807.35
2014-04-30,6953.76
2014-05-31,7127.72
2014-06-30,7008.0
2014-07-31,6745.14
2014-08-31,6914.77
2014-09-30,6945.49
2014-10-31,6689.01
2014-11-30,6960.83
2014-12-31,6832.0
2015-01-31,7373.04
2015-02-28,7910.56
2015-03-31,8057.75
2015-04-30,8137.99
2015-05-31,8188.45
2015-06-30,7860.75
2015-07-31,8314.0
2015-08-31,7634.89
2015-09-30,7319.44
2015-10-31,8008.88
2015-11-30,8145.83
2015-12-31,7694.06
2016-01-31,7332.15
2016-02-29,7220.79
2016-03-31,7322.87
2016-04-30,7433.14
2016-05-31,7666.59
2016-06-30,7253.12
2016-07-31,7619.13
2016-08-31,7643.13
2016-09-30,7684.8
2016-10-31,7761.55
2016-11-30,7862.14
2016-12-31,8353.51
2017-01-31,8198.35
2017-02-28,8410.27
2017-03-31,8864.97
2017-04-30,9149.58
2017-05-31,9380.56
2017-06-30,9143.24
2017-07-31,9106.4
2017-08-31,9106.08
2017-09-30,9540.98
2017-10-31,9800.19
2017-11-30,9603.17
2017-12-31,9551.07
2018-01-31,9850.55
2018-02-28,9565.16
2018-03-31,9338.46
2018-04-30,9944.29
2018-05-31,9930.92
2018-06-30,9825.34
2018-07-31,10133.89
2018-08-31,9999.18
2018-09-30,10119.36
2018-10-31,9387.74
2018-11-30,9199.44
2018-12-31,8670.79
2019-01-31,9164.3
2019-02-28,9607.28
2019-03-31,9778.36
2019-04-30,10278.21
2019-05-31,9726.1
2019-06-30,10348.23
2019-07-31,10351.65
2019-08-31,10269.72
2019-09-30,10618.49
2019-10-31,10727.04
2019-11-30,11034.86
2019-12-31,11185.86
2020-01-31,10923.86
2020-02-29,10037.92
2020-03-31,8218.92
2020-04-30,8628.18
2020-05-31,8926.59
2020-06-30,9371.78
2020-07-31,9166.65
2020-08-31,9500.16
2020-09-30,9261.31
2020-10-31,8845.32
2020-11-30,10611.17
2020-12-31,10703.57
2021-01-31,10471.63
2021-02-28,11004.78
2021-03-31,11665.62
2021-04-30,12066.06
2021-05-31,12494.78
2021-06-30,12642.16
2021-07-31,12846.99
2021-08-31,13005.0
2021-09-30,12725.0
2021-10-31,13297.64
2021-11-30,13037.82
2021-12-31,13815.55
2022-01-31,13480.29
2022-02-28,12865.37
2022-03-31,12888.12
2022-04-30,12728.6
2022-05-31,12804.67
2022-06-30,11702.26
2022-07-31,12769.12
2022-08-31,12130.42
2022-09-30,11354.9
2022-10-31,12337.62
2022-11-30,13213.66
2022-12-31,12753.69
2023-01-31,13926.04
2023-02-28,14290.78
2023-03-31,14346.45
2023-04-30,14754.41
2023-05-31,14202.96
2023-06-30,14820.51
2023-07-31,15042.79
2023-08-31,14687.37
2023-09-30,14301.85
2023-10-31,13749.69
2023-11-30,14628.35
2023-12-31,15134.81
2024-01-31,15348.52
2024-02-29,15823.01
2024-03-31,16407.21
2024-04-30,16095.02
2024-05-31,16417.82
2024-06-30,15322.71
2024-07-31,15515.14
2024-08-31,15698.98
2024-09-30,15712.36
2024-10-31,15158.88
2024-11-30,14916.39
2024-12-31,15224.17
2025-01-31,16353.78
2025-02-28,16682.8
2025-03-31,16085.03
2025-04-30,15833.36
2025-05-31,16462.18
2025-06-30,16349.56
2025-07-31,16575.37
2025-08-31,16423.89
2025-09-30,16832.04
2025-10-31,17281.87
2025-11-30,17289.94
2025-12-31,17412.54
2026-01-31,17382.26
2026-02-28,18339.55
2026-03-31,16738.29
2026-04-30,17513.8
2026-05-31,17986.17
2026-06-30,18380.38
