Nom,CAC All-Tradable
ISIN,FR0003999499
Symbole,CACT
Source,https://markets.ft.com/data/indices/tearsheet/summary?s=CACT%3APAR
Date,Close
2008-08-31,3167.35
2008-09-30,2842.21
2008-10-31,2433.26
2008-11-30,2279.65
2008-12-31,2251.35
2009-01-31,2098.04
2009-02-28,1909.34
2009-03-31,1978.47
2009-04-30,2236.71
2009-05-31,2318.75
2009-06-30,2233.07
2009-07-31,2432.1
2009-08-31,2595.52
2009-09-30,2712.55
2009-10-31,2575.07
2009-11-30,2613.02
2009-12-31,2789.32
2010-01-31,2675.75
2010-02-28,2657.74
2010-03-31,2850.31
2010-04-30,2759.18
2010-05-31,2545.12
2010-06-30,2498.74
2010-07-31,2641.13
2010-08-31,2538.24
2010-09-30,2705.1
2010-10-31,2796.15
2010-11-30,2649.77
2010-12-31,2800.66
2011-01-31,2928.35
2011-02-28,3005.88
2011-03-31,2928.12
2011-04-30,3015.46
2011-05-31,2958.83
2011-06-30,2940.24
2011-07-31,2732.81
2011-08-31,2443.91
2011-09-30,2233.9
2011-10-31,2414.0
2011-11-30,2341.03
2011-12-31,2344.44
2012-01-31,2462.46
2012-02-29,2579.85
2012-03-31,2573.29
2012-04-30,2429.23
2012-05-31,2275.01
2012-06-30,2397.42
2012-07-31,2468.91
2012-08-31,2552.99
2012-09-30,2528.44
2012-10-31,2575.15
2012-11-30,2670.61
2012-12-31,2728.5
2013-01-31,2804.82
2013-02-28,2815.55
2013-03-31,2820.16
2013-04-30,2896.33
2013-05-31,2970.55
2013-06-30,2819.37
2013-07-31,3013.85
2013-08-31,2973.8
2013-09-30,3133.28
2013-10-31,3249.03
2013-11-30,3253.45
2013-12-31,3262.93
2014-01-31,3178.89
2014-02-28,3371.46
2014-03-31,3373.1
2014-04-30,3433.22
2014-05-31,3466.41
2014-06-30,3391.92
2014-07-31,3263.28
2014-08-31,3345.01
2014-09-30,3355.52
2014-10-31,3229.24
2014-11-30,3358.57
2014-12-31,3288.66
2015-01-31,3547.46
2015-02-28,3805.89
2015-03-31,3871.05
2015-04-30,3892.24
2015-05-31,3869.46
2015-06-30,3694.43
2015-07-31,3904.91
2015-08-31,3585.6
2015-09-30,3433.16
2015-10-31,3754.04
2015-11-30,3815.83
2015-12-31,3596.97
2016-01-31,3426.87
2016-02-29,3370.75
2016-03-31,3412.76
2016-04-30,3450.4
2016-05-31,3500.96
2016-06-30,3291.34
2016-07-31,3454.42
2016-08-31,3465.06
2016-09-30,3479.57
2016-10-31,3511.39
2016-11-30,3553.42
2016-12-31,3769.25
2017-01-31,3698.44
2017-02-28,3793.21
2017-03-31,3992.21
2017-04-30,4106.66
2017-05-31,4145.34
2017-06-30,4024.89
2017-07-31,4005.34
2017-08-31,4004.96
2017-09-30,4191.73
2017-10-31,4303.82
2017-11-30,4214.71
2017-12-31,4184.48
2018-01-31,4314.93
2018-02-28,4188.95
2018-03-31,4083.23
2018-04-30,4331.78
2018-05-31,4258.4
2018-06-30,4195.98
2018-07-31,4325.96
2018-08-31,4268.15
2018-09-30,4314.51
2018-10-31,4000.61
2018-11-30,3917.85
2018-12-31,3684.17
2019-01-31,3891.99
2019-02-28,4079.94
2019-03-31,4144.31
2019-04-30,4336.1
2019-05-31,4038.75
2019-06-30,4279.73
2019-07-31,4276.23
2019-08-31,4242.11
2019-09-30,4380.91
2019-10-31,4425.62
2019-11-30,4549.41
2019-12-31,4607.88
2020-01-31,4493.57
2020-02-29,4129.09
2020-03-31,3372.23
2020-04-30,3536.88
2020-05-31,3636.29
2020-06-30,3805.41
2020-07-31,3706.22
2020-08-31,3841.0
2020-09-30,3737.75
2020-10-31,3569.85
2020-11-30,4281.89
2020-12-31,4313.46
2021-01-31,4214.56
2021-02-28,4429.15
2021-03-31,4689.53
2021-04-30,4838.77
2021-05-31,4956.72
2021-06-30,5000.61
2021-07-31,5077.54
2021-08-31,5139.65
2021-09-30,5019.12
2021-10-31,5244.98
2021-11-30,5137.19
2021-12-31,5441.42
2022-01-31,5303.87
2022-02-28,5061.42
2022-03-31,5065.08
2022-04-30,4973.6
2022-05-31,4930.16
2022-06-30,4492.4
2022-07-31,4895.05
2022-08-31,4650.04
2022-09-30,4347.86
2022-10-31,4724.13
2022-11-30,5056.02
2022-12-31,4873.96
2023-01-31,5315.35
2023-02-28,5453.9
2023-03-31,5468.96
2023-04-30,5587.86
2023-05-31,5300.84
2023-06-30,5515.74
2023-07-31,5592.27
2023-08-31,5460.01
2023-09-30,5311.12
2023-10-31,5106.07
2023-11-30,5428.76
2023-12-31,5609.67
2024-01-31,5682.07
2024-02-29,5857.29
2024-03-31,6066.75
2024-04-30,5907.63
2024-05-31,5939.54
2024-06-30,5528.26
2024-07-31,5591.32
2024-08-31,5657.46
2024-09-30,5656.65
2024-10-31,5455.47
2024-11-30,5366.51
2024-12-31,5469.9
2025-01-31,5869.41
2025-02-28,5987.07
2025-03-31,5765.95
2025-04-30,5646.29
2025-05-31,5767.66
2025-06-30,5711.56
2025-07-31,5784.02
2025-08-31,5730.98
2025-09-30,5864.8
2025-10-31,6012.94
2025-11-30,6013.77
2025-12-31,6043.88
2026-01-31,6032.9
2026-02-28,6364.37
2026-03-31,5801.8
2026-04-30,6036.45
2026-05-31,6108.39
2026-06-30,6221.14
2026-07-31,6259.13
