Nom,EURO STOXX 50® (Gross Return EUR)
ISIN,CH0102173264
Symbole,SX5GT
Source,https://stoxx.com/index/sx5gt/?factsheet=true
Date,Close
2001-01-31,1001.93
2001-02-28,905.81
2001-03-31,878.58
2001-04-30,952.67
2001-05-31,939.13
2001-06-30,902.47
2001-07-31,870.79
2001-08-31,798.21
2001-09-30,702.93
2001-10-31,742.01
2001-11-30,780.48
2001-12-31,812.06
2002-01-31,783.94
2002-02-28,774.21
2002-03-31,808.82
2002-04-30,766.78
2002-05-31,742.2
2002-06-30,681.23
2002-07-31,584.65
2002-08-31,591.54
2002-09-30,481.3
2002-10-31,550.29
2002-11-30,580.58
2002-12-31,521.95
2003-01-31,492.38
2003-02-28,469.01
2003-03-31,447.02
2003-04-30,513.52
2003-05-31,519.78
2003-06-30,540.92
2003-07-31,564.79
2003-08-31,574.07
2003-09-30,537.95
2003-10-31,578.77
2003-11-30,591.4
2003-12-31,620.71
2004-01-31,639.2
2004-02-29,651.54
2004-03-31,628.61
2004-04-30,632.2
2004-05-31,630.55
2004-06-30,647.53
2004-07-31,627.86
2004-08-31,617.62
2004-09-30,630.48
2004-10-31,650.55
2004-11-30,666.35
2004-12-31,683.76
2005-01-31,692.5
2005-02-28,710.83
2005-03-31,710.22
2005-04-30,687.31
2005-05-31,729.19
2005-06-30,756.96
2005-07-31,792.12
2005-08-31,778.96
2005-09-30,818.27
2005-10-31,793.15
2005-11-30,824.77
2005-12-31,856.35
2006-01-31,884.4
2006-02-28,904.59
2006-03-31,924.72
2006-04-30,924.38
2006-05-31,887.61
2006-06-30,895.36
2006-07-31,906.77
2006-08-31,937.56
2006-09-30,960.0
2006-10-31,986.88
2006-11-30,985.19
2006-12-31,1018.02
2007-01-31,1033.76
2007-02-28,1011.45
2007-03-31,1035.23
2007-04-30,1093.87
2007-05-31,1141.58
2007-06-30,1139.54
2007-07-31,1096.72
2007-08-31,1093.16
2007-09-30,1115.35
2007-10-31,1143.85
2007-11-30,1122.63
2007-12-31,1123.96
2008-01-31,970.19
2008-02-29,953.09
2008-03-31,928.87
2008-04-30,986.98
2008-05-31,996.45
2008-06-30,885.79
2008-07-31,890.57
2008-08-31,891.39
2008-09-30,806.07
2008-10-31,687.92
2008-11-30,649.09
2008-12-31,653.96
2009-01-31,599.1
2009-02-28,529.77
2009-03-31,555.56
2009-04-30,643.09
2009-05-31,678.28
2009-06-30,666.62
2009-07-31,733.07
2009-08-31,772.43
2009-09-30,800.19
2009-10-31,764.85
2009-11-30,782.77
2009-12-31,831.03
2010-01-31,778.96
2010-02-28,766.12
2010-03-31,823.54
2010-04-30,794.08
2010-05-31,752.61
2010-06-30,744.28
2010-07-31,793.47
2010-08-31,760.36
2010-09-30,797.28
2010-10-31,826.13
2010-11-30,773.4
2010-12-31,815.22
2011-01-31,864.32
2011-02-28,881.95
2011-03-31,852.21
2011-04-30,886.56
2011-05-31,861.81
2011-06-30,859.92
2011-07-31,807.25
2011-08-31,696.78
2011-09-30,661.96
2011-10-31,724.96
2011-11-30,711.36
2011-12-31,707.98
2012-01-31,741.3099
2012-02-29,770.85
2012-03-31,760.96
2012-04-30,715.5
2012-05-31,671.02
2012-06-30,720.67
2012-07-31,741.72
2012-08-31,778.75
2012-09-30,785.63
2012-10-31,802.51
2012-11-30,826.15
2012-12-31,846.53
2013-01-31,870.89
2013-02-28,848.72
2013-03-31,846.5
2013-04-30,882.81
2013-05-31,915.17
2013-06-30,862.36
2013-07-31,918.91
2013-08-31,903.68
2013-09-30,962.53
2013-10-31,1021.62
2013-11-30,1030.22
2013-12-31,1038.99
2014-01-31,1009.81
2014-02-28,1055.38
2014-03-31,1061.0
