Nom,EURO STOXX 50® (Price Return EUR)
ISIN,EU0009658145
Symbole,SX5E
Source,https://stoxx.com/index/sx5e/?factsheet=true
Date,Close
2001-01-31,4779.9
2001-02-28,4318.88
2001-03-31,4185.0
2001-04-30,4525.01
2001-05-31,4426.24
2001-06-30,4243.91
2001-07-31,4091.38
2001-08-31,3743.97
2001-09-30,3296.66
2001-10-31,3478.63
2001-11-30,3658.27
2001-12-31,3806.13
2002-01-31,3670.26
2002-02-28,3624.74
2002-03-31,3784.05
2002-04-30,3574.23
2002-05-31,3425.79
2002-06-30,3133.39
2002-07-31,2685.79
2002-08-31,2709.29
2002-09-30,2204.39
2002-10-31,2518.9899
2002-11-30,2656.85
2002-12-31,2386.41
2003-01-31,2248.17
2003-02-28,2140.73
2003-03-31,2036.86
2003-04-30,2324.23
2003-05-31,2330.06
2003-06-30,2419.51
2003-07-31,2519.79
2003-08-31,2556.71
2003-09-30,2395.87
2003-10-31,2575.04
2003-11-30,2630.4699
2003-12-31,2760.66
2004-01-31,2839.13
2004-02-29,2893.18
2004-03-31,2787.4899
2004-04-30,2787.48
2004-05-31,2749.62
2004-06-30,2811.08
2004-07-31,2720.05
2004-08-31,2670.79
2004-09-30,2726.3
2004-10-31,2811.7199
2004-11-30,2876.39
2004-12-31,2951.01
2005-01-31,2984.59
2005-02-28,3058.32
2005-03-31,3055.73
2005-04-30,2930.1
2005-05-31,3076.7
2005-06-30,3181.54
2005-07-31,3326.51
2005-08-31,3263.78
2005-09-30,3428.51
2005-10-31,3320.15
2005-11-30,3447.07
2005-12-31,3578.93
2006-01-31,3691.41
2006-02-28,3774.51
2006-03-31,3853.74
2006-04-30,3839.9
2006-05-31,3637.17
2006-06-30,3648.92
2006-07-31,3691.87
2006-08-31,3808.7
2006-09-30,3899.41
2006-10-31,4004.8
2006-11-30,3987.23
2006-12-31,4119.9399
2007-01-31,4178.54
2007-02-28,4087.12
2007-03-31,4181.03
2007-04-30,4392.34
2007-05-31,4512.65
2007-06-30,4489.77
2007-07-31,4315.6899
2007-08-31,4294.56
2007-09-30,4381.71
2007-10-31,4489.79
2007-11-30,4394.95
2007-12-31,4399.72
2008-01-31,3792.8
2008-02-29,3724.5
2008-03-31,3628.06
2008-04-30,3825.02
2008-05-31,3777.85
2008-06-30,3352.81
2008-07-31,3367.82
2008-08-31,3365.63
2008-09-30,3038.2
2008-10-31,2591.76
2008-11-30,2430.31
2008-12-31,2447.62
2009-01-31,2236.98
2009-02-28,1976.23
2009-03-31,2071.13
2009-04-30,2375.34
2009-05-31,2451.2399
2009-06-30,2401.69
2009-07-31,2638.13
2009-08-31,2775.17
2009-09-30,2872.63
2009-10-31,2743.5
2009-11-30,2797.25
2009-12-31,2964.96
2010-01-31,2776.83
2010-02-28,2728.4699
2010-03-31,2931.16
2010-04-30,2816.86
2010-05-31,2610.26
2010-06-30,2573.32
2010-07-31,2742.14
2010-08-31,2622.95
2010-09-30,2747.9
2010-10-31,2844.9899
2010-11-30,2650.9899
2010-12-31,2792.82
2011-01-31,2953.63
2011-02-28,3013.09
2011-03-31,2910.91
2011-04-30,3011.25
2011-05-31,2861.92
2011-06-30,2848.53
2011-07-31,2670.37
2011-08-31,2302.08
2011-09-30,2179.66
2011-10-31,2385.2199
2011-11-30,2330.43
2011-12-31,2316.55
2012-01-31,2416.66
2012-02-29,2512.11
2012-03-31,2477.28
2012-04-30,2306.43
2012-05-31,2118.94
2012-06-30,2264.7199
2012-07-31,2325.7199
2012-08-31,2440.71
2012-09-30,2454.26
2012-10-31,2503.64
2012-11-30,2575.25
2012-12-31,2635.93
2013-01-31,2702.98
2013-02-28,2633.55
2013-03-31,2624.02
