Nom,STOXX® Europe 600 (Gross Return EUR)
ISIN,CH0102635015
Symbole,SXXGR
Source,https://stoxx.com/index/sxxgr/?factsheet=true
Date,Close
2001-01-31,101.24
2001-02-28,93.74
2001-03-31,90.28
2001-04-30,96.27
2001-05-31,96.72
2001-06-30,93.33
2001-07-31,89.89
2001-08-31,84.63
2001-09-30,75.79
2001-10-31,79.04
2001-11-30,82.4
2001-12-31,85.21
2002-01-31,83.48
2002-02-28,82.86
2002-03-31,86.9
2002-04-30,83.64
2002-05-31,80.72
2002-06-30,73.67
2002-07-31,66.09
2002-08-31,66.08
2002-09-30,56.79
2002-10-31,62.16
2002-11-30,64.99
2002-12-31,58.98
2003-01-31,55.31
2003-02-28,53.31
2003-03-31,51.98
2003-04-30,57.78
2003-05-31,58.61
2003-06-30,60.66
2003-07-31,63.2
2003-08-31,64.48
2003-09-30,62.17
2003-10-31,66.64
2003-11-30,67.27
2003-12-31,69.1
2004-01-31,71.11
2004-02-29,73.27
2004-03-31,71.76
2004-04-30,72.87
2004-05-31,72.8
2004-06-30,74.09
2004-07-31,72.79
2004-08-31,72.18
2004-09-30,73.51
2004-10-31,74.34
2004-11-30,76.39
2004-12-31,77.86
2005-01-31,79.71
2005-02-28,82.18
2005-03-31,81.81
2005-04-30,80.42
2005-05-31,84.54
2005-06-30,87.5
2005-07-31,90.46
2005-08-31,90.67
2005-09-30,94.74
2005-10-31,92.53
2005-11-30,95.66
2005-12-31,99.07
2006-01-31,102.66
2006-02-28,104.97
2006-03-31,107.51
2006-04-30,108.63
2006-05-31,103.78
2006-06-30,104.68
2006-07-31,106.53
2006-08-31,109.7
2006-09-30,111.96
2006-10-31,115.94
2006-11-30,115.71
2006-12-31,120.18
2007-01-31,122.71
2007-02-28,120.31
2007-03-31,123.82
2007-04-30,128.73
2007-05-31,133.11
2007-06-30,132.41
2007-07-31,127.94
2007-08-31,126.89
2007-09-30,127.62
2007-10-31,131.33
2007-11-30,125.47
2007-12-31,123.58
2008-01-31,109.28
2008-02-29,108.38
2008-03-31,104.38
2008-04-30,111.07
2008-05-31,112.06
2008-06-30,100.89
2008-07-31,99.03
2008-08-31,100.85
2008-09-30,89.73
2008-10-31,77.9
2008-11-30,72.66
2008-12-31,69.93
2009-01-31,67.52
2009-02-28,61.27
2009-03-31,62.73
2009-04-30,71.84
2009-05-31,75.55
2009-06-30,74.9
2009-07-31,81.95
2009-08-31,86.21
2009-09-30,88.65
2009-10-31,86.68
2009-11-30,87.76
2009-12-31,93.25
2010-01-31,90.76
2010-02-28,90.51
2010-03-31,97.39
2010-04-30,96.54
2010-05-31,91.99
2010-06-30,91.58
2010-07-31,96.2099
2010-08-31,94.9
2010-09-30,98.17
2010-10-31,100.61
2010-11-30,99.3
2010-12-31,104.67
2011-01-31,106.39
2011-02-28,109.06
2011-03-31,105.36
2011-04-30,109.08
2011-05-31,109.22
2011-06-30,106.3
2011-07-31,103.44
2011-08-31,92.83
2011-09-30,88.6
2011-10-31,95.45
2011-11-30,94.41
2011-12-31,96.24
2012-01-31,100.27
2012-02-29,104.47
2012-03-31,104.4599
2012-04-30,102.91
2012-05-31,96.93
2012-06-30,101.87
2012-07-31,106.14
2012-08-31,108.4
2012-09-30,109.51
2012-10-31,110.38
2012-11-30,112.81
2012-12-31,114.5
2013-01-31,117.75
2013-02-28,119.14
2013-03-31,121.18
2013-04-30,123.4
2013-05-31,126.13
2013-06-30,119.77
2013-07-31,126.03
2013-08-31,125.39
2013-09-30,131.08
2013-10-31,136.25
2013-11-30,137.68
2013-12-31,139.12
2014-01-31,136.84
2014-02-28,143.73
2014-03-31,142.69
2014-04-30,145.1
2014-05-31,149.15
2014-06-30,148.43
2014-07-31,146.02
2014-08-31,149.01
2014-09-30,149.6399
2014-10-31,147.05
2014-11-30,151.88
2014-12-31,149.97
2015-01-31,160.87
2015-02-28,172.12
2015-03-31,175.1699
2015-04-30,175.55
2015-05-31,178.77
