Nom,STOXX® Europe 600 (Price Return EUR)
ISIN,EU0009658202
Symbole,SXXP
Source,https://stoxx.com/index/sxxp/?factsheet=true
Date,Close
2001-01-31,362.33
2001-02-28,335.02
2001-03-31,321.7
2001-04-30,342.02
2001-05-31,341.97
2001-06-30,329.35
2001-07-31,316.95
2001-08-31,297.66
2001-09-30,266.29
2001-10-31,277.41
2001-11-30,288.95
2001-12-31,298.73
2002-01-31,292.45
2002-02-28,289.8399
2002-03-31,303.04
2002-04-30,290.64
2002-05-31,279.0299
2002-06-30,254.04
2002-07-31,227.63
2002-08-31,226.82
2002-09-30,194.76
2002-10-31,213.01
2002-11-30,222.47
2002-12-31,201.72
2003-01-31,189.0
2003-02-28,181.75
2003-03-31,176.41
2003-04-30,194.88
2003-05-31,196.54
2003-06-30,202.94
2003-07-31,211.11
2003-08-31,214.7
2003-09-30,206.86
2003-10-31,221.53
2003-11-30,223.3
2003-12-31,229.31
2004-01-31,235.81
2004-02-29,242.59
2004-03-31,236.59
2004-04-30,239.05
2004-05-31,237.35
2004-06-30,240.86
2004-07-31,236.4
2004-08-31,233.63
2004-09-30,237.74
2004-10-31,240.3
2004-11-30,246.51
2004-12-31,251.11
2005-01-31,256.85
2005-02-28,264.29
2005-03-31,262.19
2005-04-30,256.06
2005-05-31,267.29
2005-06-30,275.92
2005-07-31,285.0299
2005-08-31,284.82
2005-09-30,297.4
2005-10-31,290.29
2005-11-30,299.47
2005-12-31,310.0299
2006-01-31,321.04
2006-02-28,327.88
2006-03-31,334.44
2006-04-30,336.48
2006-05-31,318.86
2006-06-30,320.66
2006-07-31,326.04
2006-08-31,334.73
2006-09-30,341.43
2006-10-31,353.3399
2006-11-30,351.7799
2006-12-31,365.26
2007-01-31,372.72
2007-02-28,365.0299
2007-03-31,374.22
2007-04-30,386.93
2007-05-31,396.74
2007-06-30,393.71
2007-07-31,380.07
2007-08-31,375.94
2007-09-30,377.86
2007-10-31,388.43
2007-11-30,370.36
2007-12-31,364.64
2008-01-31,322.16
2008-02-29,318.95
2008-03-31,305.96
2008-04-30,323.0899
2008-05-31,322.12
2008-06-30,289.39
2008-07-31,283.76
2008-08-31,288.18
2008-09-30,256.05
2008-10-31,222.07
2008-11-30,206.25
2008-12-31,198.36
2009-01-31,191.23
2009-02-28,172.9199
2009-03-31,176.46
2009-04-30,200.23
2009-05-31,208.21
2009-06-30,205.83
2009-07-31,224.91
2009-08-31,236.0
2009-09-30,242.47
2009-10-31,236.93
2009-11-30,239.17
2009-12-31,253.89
2010-01-31,246.96
2010-02-28,245.8
2010-03-31,263.57
2010-04-30,259.91
2010-05-31,244.97
2010-06-30,243.32
2010-07-31,255.35
2010-08-31,251.31
2010-09-30,259.72
2010-10-31,265.96
2010-11-30,261.83
2010-12-31,275.81
2011-01-31,280.05
2011-02-28,286.47
2011-03-31,275.9
2011-04-30,283.7799
2011-05-31,281.06
2011-06-30,272.86
2011-07-31,265.25
2011-08-31,237.43
